username,timestamp,cpu,ram,disco
LucasBlack,2026-08-20 11:05:24,6.9,57.6,4.4
LucasBlack,2026-08-20 11:05:34,10.4,57.4,4.4
LucasBlack,2026-08-20 11:05:44,10.3,57.6,4.4
LucasBlack,2026-08-20 11:05:54,5.4,57.3,4.4
LucasBlack,2026-08-20 11:06:04,2.6,57.3,4.4
LucasBlack,2026-08-20 11:07:07,6.1,56.8,4.6
LucasBlack,2026-08-20 11:07:17,2.6,56.6,4.6
LucasBlack,2026-08-20 11:07:27,2.3,56.6,4.6
LucasBlack,2026-08-20 11:07:37,2.1,56.6,4.6
LucasBlack,2026-08-20 11:07:47,10.3,57.8,4.5
LucasBlack,2026-08-20 11:07:57,9.7,58.4,4.5
LucasBlack,2026-08-20 11:08:07,2.4,58.2,4.5
LucasBlack,2026-08-20 11:08:17,1.9,58.2,4.5
LucasBlack,2026-08-20 11:08:27,2.5,58.1,4.5
LucasBlack,2026-08-20 11:08:37,2.9,58.1,4.5
LucasBlack,2026-08-20 11:08:47,2.5,58.1,4.5
LucasBlack,2026-08-20 11:08:57,1.7,58.2,4.5
LucasBlack,2026-08-20 11:09:07,2.7,58.2,4.5
LucasBlack,2026-08-20 11:09:17,2.3,58.2,4.5
LucasBlack,2026-08-20 11:09:27,2.3,58.2,4.5
LucasBlack,2026-08-20 11:09:37,1.3,58.2,4.5
LucasBlack,2026-08-20 11:09:47,3.2,57.9,4.5
LucasBlack,2026-08-20 11:09:57,3.0,58.1,4.5
LucasBlack,2026-08-20 11:10:07,2.3,58.1,4.5
LucasBlack,2026-08-20 11:10:17,1.9,58.1,4.5
LucasBlack,2026-08-20 11:10:27,2.0,58.1,4.5
LucasBlack,2026-08-20 11:10:37,3.6,58.1,4.5
LucasBlack,2026-08-20 11:10:47,1.4,58.1,4.5
LucasBlack,2026-08-20 11:10:57,2.7,58.0,4.5
LucasBlack,2026-08-20 11:11:07,14.7,58.4,4.5
LucasBlack,2026-08-20 11:11:17,3.8,58.4,4.5
LucasBlack,2026-08-20 11:11:27,3.4,58.8,4.5
