username,timestamp,cpu,ram,disco
Guilherme,2026-08-20 11:02:49,27.1,70.7,63.7
Guilherme,2026-08-20 11:02:59,9.3,70.3,63.7
Guilherme,2026-08-20 11:03:09,9.5,70.0,63.7
Guilherme,2026-08-20 11:03:19,2.0,69.9,63.7
Guilherme,2026-08-20 11:03:29,2.8,69.9,63.7
Guilherme,2026-08-20 11:03:39,2.0,69.9,63.7
Guilherme,2026-08-20 11:03:49,2.7,69.8,63.7
Guilherme,2026-08-20 11:03:59,8.5,70.1,63.7
Guilherme,2026-08-20 11:04:09,8.5,70.1,63.7
Guilherme,2026-08-20 11:04:19,8.1,70.0,63.7
Guilherme,2026-08-20 11:04:29,8.4,70.0,63.7
Guilherme,2026-08-20 11:04:39,8.0,70.0,63.7
Guilherme,2026-08-20 11:04:49,8.7,70.2,63.7
Guilherme,2026-08-20 11:04:59,23.8,70.3,63.7
Guilherme,2026-08-20 11:05:09,6.6,69.5,63.7
Guilherme,2026-08-20 11:05:19,5.8,69.6,63.7
Guilherme,2026-08-20 11:05:29,14.0,70.3,63.7
Guilherme,2026-08-20 11:05:39,5.1,70.0,63.7
Guilherme,2026-08-20 11:05:49,4.6,71.1,63.7
Guilherme,2026-08-20 11:05:59,21.1,73.3,63.7
Guilherme,2026-08-20 11:06:09,4.3,71.8,63.7
Guilherme,2026-08-20 11:06:19,2.5,71.4,63.7
Guilherme,2026-08-20 11:06:29,2.1,71.7,63.7
Guilherme,2026-08-20 11:06:39,1.9,71.1,63.7
Guilherme,2026-08-20 11:06:49,6.7,70.5,63.7
Guilherme,2026-08-20 11:06:59,15.6,70.6,63.7
Guilherme,2026-08-20 11:07:09,12.3,71.2,63.7
Guilherme,2026-08-20 11:07:19,21.1,75.2,63.7
Guilherme,2026-08-20 11:07:29,7.1,75.0,63.7
Guilherme,2026-08-20 11:07:39,27.1,74.8,63.7
Guilherme,2026-08-20 11:07:49,7.8,74.3,63.7
Guilherme,2026-08-20 11:07:59,22.0,74.2,63.7
Guilherme,2026-08-20 11:08:09,29.5,74.5,63.7
Guilherme,2026-08-20 11:08:19,23.9,73.9,63.7
Guilherme,2026-08-20 11:08:29,24.2,73.7,63.7
Guilherme,2026-08-20 11:08:39,22.2,73.2,63.7
Guilherme,2026-08-20 11:08:49,50.0,74.5,63.7
Guilherme,2026-08-20 11:08:59,20.8,78.3,63.7
Guilherme,2026-08-20 11:09:09,25.0,77.0,63.7
Guilherme,2026-08-20 11:09:19,15.9,77.2,63.7
Guilherme,2026-08-20 11:09:29,34.9,75.9,63.7
Guilherme,2026-08-20 11:09:39,28.6,75.9,63.7
Guilherme,2026-08-20 11:09:49,33.2,75.6,63.7
Guilherme,2026-08-20 11:09:59,11.8,75.9,63.7
Guilherme,2026-08-20 11:10:09,15.0,76.3,63.7
Guilherme,2026-08-20 11:10:19,1.6,76.2,63.7
Guilherme,2026-08-20 11:10:29,2.0,75.4,63.7
Guilherme,2026-08-20 11:10:39,5.6,74.4,63.7
Guilherme,2026-08-20 11:10:49,59.6,75.3,63.7
Guilherme,2026-08-20 11:10:59,3.3,75.7,63.7
Guilherme,2026-08-20 11:11:09,10.9,75.6,63.7
Guilherme,2026-08-20 11:11:19,3.2,75.3,63.7
Guilherme,2026-08-20 11:11:29,5.3,75.9,63.7
Guilherme,2026-08-20 11:11:39,1.3,75.9,63.7
Guilherme,2026-08-20 11:11:49,6.2,76.1,63.7
Guilherme,2026-08-20 11:11:59,33.7,76.4,63.7
Guilherme,2026-08-20 11:12:09,17.9,76.2,63.7
Guilherme,2026-08-20 11:12:19,3.4,76.2,63.7
Guilherme,2026-08-20 11:12:29,6.6,77.6,63.7
Guilherme,2026-08-20 11:12:39,19.7,77.7,63.7
Guilherme,2026-08-20 11:12:49,25.1,77.6,63.7
Guilherme,2026-08-20 11:12:59,14.8,76.9,63.7
Guilherme,2026-08-20 11:13:09,6.3,76.8,63.7
Guilherme,2026-08-20 11:13:19,11.8,76.5,63.7
Guilherme,2026-08-20 11:13:29,9.5,78.0,63.7
Guilherme,2026-08-20 11:13:39,12.3,79.1,63.7
Guilherme,2026-08-20 11:13:49,14.5,78.7,63.7
Guilherme,2026-08-20 11:13:59,5.3,78.5,63.7
Guilherme,2026-08-20 11:14:09,15.5,78.8,63.7
Guilherme,2026-08-20 11:14:19,13.5,78.7,63.7
Guilherme,2026-08-20 11:14:29,5.8,78.2,63.7
Guilherme,2026-08-20 11:14:39,2.0,78.1,63.7
Guilherme,2026-08-20 11:14:49,3.0,78.3,63.7
Guilherme,2026-08-20 11:14:59,4.3,78.7,63.7
Guilherme,2026-08-20 11:15:09,8.7,78.1,63.7
Guilherme,2026-08-20 11:15:19,9.4,78.8,63.7
Guilherme,2026-08-20 11:15:29,3.7,77.7,63.7
Guilherme,2026-08-20 11:15:39,1.5,77.6,63.7
Guilherme,2026-08-20 11:15:49,2.0,77.5,63.7
Guilherme,2026-08-20 11:15:59,1.9,77.4,63.7
Guilherme,2026-08-20 11:16:09,2.4,77.3,63.7
Guilherme,2026-08-20 11:16:19,1.5,77.3,63.7
Guilherme,2026-08-20 11:45:14,15.8,78.1,63.7
Guilherme,2026-08-20 11:45:24,20.3,78.6,63.7
